x1,x2,y
3.8108280075752323,6.928757489570475,1.0
4.3762188199938565,6.141752127698004,0.0
5.092311444274664,6.931233684575491,0.0
4.358281307363218,7.324346496520027,0.0
5.3797698410107095,7.549257543298545,1.0
3.446186699618921,5.632737298313957,0.0
5.419065375673192,3.6690555541357,1.0
4.896247487129281,7.394488575628024,0.0
4.864715132751803,6.9961154742026945,1.0
6.249258351896016,3.9867303784250807,1.0
4.2892287706871945,4.304027444649431,1.0
3.5980495254160627,4.249958821129514,1.0
4.115452285504265,5.253619760516639,1.0
3.9306322928924673,4.341718922662046,1.0
3.6784784522530627,6.289549607749542,1.0
4.625976712034598,7.8081480375561565,0.0
5.10217698439728,7.824743802052169,0.0
4.225591610980415,3.9503967490859213,1.0
4.681419264981625,6.2700505278605245,0.0
2.8856946406016553,2.8310759636256737,1.0
4.148485663421651,4.539537134745935,1.0
3.5441058634506053,3.3437885414630206,1.0
4.072157846146361,4.297069752668142,1.0
4.249604156581005,7.102635807644435,0.0
4.2902082216435335,3.7182609569414153,1.0
5.228928262231008,5.628509616656131,0.0
4.953130071584201,7.625775335825867,0.0
5.90397881886061,5.159046005199514,1.0
3.0656494733907653,3.6547330942393708,1.0
4.809708787289285,4.479394196342622,1.0
5.404349822031616,4.51399860062591,1.0
3.9539677226270866,6.735056976398529,0.0
3.393090672856089,3.9539822551058776,1.0
4.4724444505890535,4.416250733341774,1.0
5.27985435847778,6.937106204749107,0.0
4.969799545418025,7.056512429433624,0.0
4.7120544087181475,4.9218524453068575,1.0
3.895501299059008,4.113601361899828,1.0
4.239189232464841,6.645879352002495,0.0
5.3343820515930425,5.01773908788609,1.0
4.399277260174227,4.188359254459629,1.0
4.108947302162435,3.538707025266125,1.0
3.2938064401325207,5.148305480757752,1.0
4.662889246579196,4.339840381019837,1.0
3.276343646887696,4.963256769620076,1.0
3.9238983673142513,5.208640384942822,1.0
1.4898636935561358,3.262603305818301,1.0
5.321451475492328,7.450993509905329,0.0
3.385381311150022,4.994132484266871,1.0
5.683180651544214,7.510897742391632,0.0
2.5529589959098136,5.208662013910768,1.0
5.497933434321695,7.865632171309191,0.0
4.565889878905006,4.009037670356601,1.0
4.6728502421580895,5.539707471933456,1.0
2.180517528810909,4.576259432298471,1.0
5.22835539633468,4.439172573913472,1.0
2.980642137716643,5.331995017287424,0.0
4.680115438056322,3.7152571551690685,1.0
4.600639290923684,6.888911293568949,0.0
4.661722018130589,6.762745373354349,0.0
4.360800012676337,6.37824678603804,0.0
4.61836081464204,4.478194344488577,1.0
4.632160675369352,6.05453686113815,0.0
4.708386178502346,6.797461664287012,0.0
5.730798584166234,8.65671937359478,0.0
4.601049410248444,7.46309375966132,0.0
5.726222789785001,7.059425138264813,0.0
5.332533571433375,5.290478668459032,1.0
4.690428818862402,7.298869196976041,0.0
3.924514275614636,6.249500958267113,0.0
4.337947130599029,3.3374750497239156,1.0
4.46023522355364,7.233596883055089,0.0
5.265928787859436,7.348931574996624,0.0
3.561210908592808,6.424116550133629,0.0
4.162449556021777,7.471338529855517,0.0
5.22552958768183,7.360295521286774,1.0
5.055490050112404,4.03151340415142,1.0
4.001584227054757,4.015800224990327,1.0
5.1232238273019215,7.153719384729188,0.0
3.8752208055080795,5.133625648719311,1.0
5.08489034453579,6.283287411601238,0.0
5.231502110546209,7.049606928498225,0.0
4.70566196816543,6.5498332913780315,0.0
4.26267039590986,6.143769041713236,0.0
4.386007636059917,6.377057616922068,0.0
6.154584707886469,4.556246225786187,1.0
4.911190143000049,7.818244891852246,0.0
5.210550605825505,4.081003829328565,1.0
4.260582430775161,6.338297017237914,0.0
